Quote, Company Name, CUSIP,Algorithm,Consensus, Consensus Price, Consensus Date, Previous Consensus, Previous Consensus Price, Previous Consensus Date,Avg. HPR (Long), Avg. HPR (Short), Std. Dev (Long), Std. Dev (Short), Current Price, Target Price, Target Met, Target Ex-Date, Window #, Window Accuracy (Long),Window Accuracy (Short), Number of Trades, Avg. Trade Duration (mos), Inception Date, Fund Ranking (YTD-1), Mkt Ranking, Peer #1 Quote, Peer #1 Name,Peer #1 YTD-1 Fund Ranking, Peer #1 Mkt Ranking, Peer #2 Quote, Peer #2 Name,Peer #2 YTD-1 Fund Ranking, Peer #2 Mkt Ranking
A,,00846U101,Trend Analyzer V3.1,BUY,$38.38 ,13-Sep-12,SHORT,$45.02 ,11-Feb-11,32.10%,14.75%,100.00pp,100.00pp,$39.80 ,$50.70 ,N,7-Dec-14,20,100.00%,100.00%,3,27,30-May-06,2.53,2.7,NATIONAL INSTRUMENTS CORP,NATI,3.01,1.99,PERKINELMER INC.,PKI,2.69,2.52
A,,00846U101,Momentum Analyzer V1.0,BUY,$39.73 ,14-Sep-12,HOLD,$37.41 ,17-Jun-08,21.34%,6.84%,120.44pp,126.87pp,$39.80 ,$48.21 ,N,14-Apr-14,5,75.00%,50.00%,8,19,14-Aug-00,2.53,2.7,NATIONAL INSTRUMENTS CORP,NATI,3.01,1.99,PERKINELMER INC.,PKI,2.69,2.52
AA,ALCOA INC.,13817101,Trend Analyzer V3.1,SHORT,$37.41 ,26-Dec-07,BUY,$24.94 ,25-Oct-00,50.00%,-53.01%,100.00pp,100.00pp,$8.59 ,$57.24 ,Y,14-Jul-12,15,50.00%,0.00%,3,55,19-Aug-99,2.51,4.2,ALUMINA LIMITED (ADR),AWC,2.53,2.34,NORANDA ALUMINUM HOLDING CORP.,NOR,2.53,4.81
AA,ALCOA INC.,13817101,Momentum Analyzer V1.0,SHORT,$15.80 ,10-Mar-11,BUY,$13.43 ,30-Apr-10,167.26%,56.11%,227.17pp,100.00pp,$8.59 ,$6.93 ,N,2-Feb-15,5,100.00%,100.00%,4,47,24-Sep-97,2.51,4.2,ALUMINA LIMITED (ADR),AWC,2.53,2.34,NORANDA ALUMINUM HOLDING CORP.,NOR,2.53,4.81
AAP,ADVANCE AUTO PARTS INC.,00751Y106,Trend Analyzer V3.1,SHORT,$58.42 ,5-Jul-11,BUY,$38.60 ,21-May-08,51.35%,11.18%,100.00pp,100.00pp,$73.03 ,$51.89 ,N,18-Nov-13,10,100.00%,50.00%,3,29,30-Dec-05,-1,-1,,,-1,-1,,,-1,-1
AAP,ADVANCE AUTO PARTS INC.,00751Y106,Momentum Analyzer V1.0,SHORT,$59.16 ,20-Sep-10,BUY,$36.91 ,1-Mar-07,60.28%,-100.00%,100.00pp,NaNpp,$73.03 ,$118.32 ,Y,28-Jun-13,10,100.00%,0.00%,3,34,1-Nov-04,-1,-1,,,-1,-1,,,-1,-1
AAPL,APPLE INC.,37833100,Trend Analyzer V3.1,SHORT,$188.16 ,12-May-08,HOLD,$72.11 ,20-Dec-05,84.95%,-100.00%,141.08pp,NaNpp,$529.69 ,$376.32 ,N,6-Apr-11,10,100.00%,0.00%,5,35,23-Oct-98,2.97,1.21,MICROSOFT CORPORATION,MSFT,3.14,1.85,APPLE INC.,AAPL,2.97,1.21
AAPL,APPLE INC.,37833100,Momentum Analyzer V1.0,BUY,$326.60 ,13-Jun-11,HOLD,$274.07 ,18-Jun-10,224.66%,-100.00%,320.97pp,NaNpp,$529.69 ,"$1,060.35 ",N,16-Feb-13,10,75.00%,50.00%,8,20,5-Nov-99,2.97,1.21,MICROSOFT CORPORATION,MSFT,3.14,1.85,APPLE INC.,AAPL,2.97,1.21
AAU,ALMADEN MINERALS LTD. (USA),20283107,Trend Analyzer V3.1,SHORT,$2.93 ,3-Dec-12,BUY,$2.55 ,2-Dec-11,7.66%,-10.83%,168.39pp,167.88pp,$3.22 ,$3.25 ,Y,11-May-13,5,66.67%,57.14%,13,5,4-Jun-07,2.73,2.4,,,-1,-1,,,-1,-1
AAU,ALMADEN MINERALS LTD. (USA),20283107,Momentum Analyzer V1.0,SHORT,$3.61 ,7-Jul-11,BUY,$0.78 ,29-Jan-09,120.24%,40.72%,210.14pp,119.03pp,$3.22 ,$2.14 ,N,20-Nov-12,5,100.00%,100.00%,5,17,31-Mar-06,2.73,2.4,,,-1,-1,,,-1,-1
AAV,ADVANTAGE OIL & GAS LTD (USA),00765F101,Trend Analyzer V3.1,SHORT,$3.76 ,18-Sep-12,SHORT,$4.75 ,1-Dec-11,11.87%,32.39%,162.60pp,120.54pp,$3.35 ,$2.54 ,N,16-Jun-13,10,50.00%,100.00%,9,9,2-Jun-06,2.36,4.07,ENCANA CORPORATION (USA),ECA,2.89,2.71,CANADIAN NATURAL RESOURCE LTD (USA),CNQ,2.68,3.37
AAV,ADVANTAGE OIL & GAS LTD (USA),00765F101,Momentum Analyzer V1.0,SHORT,$6.62 ,8-Nov-10,BUY,$3.87 ,4-Feb-09,71.06%,69.41%,100.00pp,100.00pp,$3.35 ,$2.03 ,N,7-Sep-12,10,100.00%,100.00%,3,22,31-Jul-07,2.36,4.07,ENCANA CORPORATION (USA),ECA,2.89,2.71,CANADIAN NATURAL RESOURCE LTD (USA),CNQ,2.68,3.37
AB,ALLIANCEBERNSTEIN HOLDING LP,01855A101,Trend Analyzer V3.1,BUY,$14.35 ,10-Sep-12,SHORT,$32.09 ,29-Apr-10,7.53%,-14.24%,101.87pp,214.84pp,$17.00 ,$15.43 ,Y,20-Dec-14,15,33.33%,0.00%,6,28,19-Aug-99,2.54,4.77,WESTWOOD HLDGS. GROUP INC.,WHG,3.17,2.2,FINANCIAL ENGINES INC,FNGN,2.9,1.72
AB,ALLIANCEBERNSTEIN HOLDING LP,01855A101,Momentum Analyzer V1.0,SHORT,$25.63 ,18-Sep-09,BUY,$13.94 ,18-Feb-09,31.60%,69.99%,139.71pp,100.00pp,$17.00 ,$7.69 ,N,19-Nov-12,10,0.00%,50.00%,4,39,2-Aug-00,2.54,4.77,WESTWOOD HLDGS. GROUP INC.,WHG,3.17,2.2,FINANCIAL ENGINES INC,FNGN,2.9,1.72
ABC,,3.07E+108,Trend Analyzer V3.1,BUY,$23.16 ,27-Jul-07,HOLD,$10.16 ,21-Dec-05,30.79%,-100.00%,106.70pp,NaNpp,$42.85 ,$30.29 ,Y,5-Nov-09,10,66.67%,0.00%,6,28,12-Aug-99,2.48,3.76,EXPRESS SCRIPTS HOLDING CO.,ESRX,2.84,2.19,WATSON PHARMACEUTICALS INC.,WPI,2.81,1.87
ABC,,3.07E+108,Momentum Analyzer V1.0,SHORT,$23.64 ,4-Feb-08,BUY,$7.52 ,3-May-04,214.36%,-100.00%,100.00pp,NaNpp,$42.85 ,$47.28 ,Y,26-Feb-13,5,100.00%,0.00%,3,62,18-Feb-98,2.48,3.76,EXPRESS SCRIPTS HOLDING CO.,ESRX,2.84,2.19,WATSON PHARMACEUTICALS INC.,WPI,2.81,1.87
ABCD,CAMBIUM LEARNING GROUP INC.,13201A107,Trend Analyzer V3.1,SHORT,$3.21 ,1-Nov-11,BUY,$2.82 ,22-Aug-11,13.89%,15.82%,100.05pp,100.00pp,$1.04 ,$2.70 ,Y,3-Jun-12,5,100.00%,100.00%,4,7,26-Aug-10,1.92,4.84,CAPELLA EDUCATION COMPANY,CPLA,3.12,4.46,THE WASHINGTON POST CO.,WPO,3.05,4.13
ABCD,CAMBIUM LEARNING GROUP INC.,13201A107,Momentum Analyzer V1.0,SHORT,$0.76 ,1-Nov-12,SHORT,$1.37 ,17-May-12,-25.17%,57.32%,134.89pp,100.00pp,$1.04 ,$0.32 ,N,29-May-13,20,50.00%,50.00%,4,7,17-Sep-10,1.92,4.84,CAPELLA EDUCATION COMPANY,CPLA,3.12,4.46,THE WASHINGTON POST CO.,WPO,3.05,4.13
